,Title,Description,Release Date,Metascore,User Score
22,Hack 'n' Slash,"Hack ‘n’ Slash is a puzzle action game about hacking -- reprogram object properties, hijack global variables, hack creature behavior, and even rewrite the game’s code. The only way to win is not to play...by the rules.","September 9, 2014",73,5.3
23,Tribes of Midgard,"In Tribes of Midgard players can play solo or co-op with a team of up to 10 players to resist the oncoming invasion of giants during Ragnarök. Set in worlds full of dark creatures, hidden gods, and abundant materials to be uncovered, players begin the game as a Viking living in a village that houses the Seed of Yggdrasil, which is the last bastion that protects the gods from the other realms.  Fans will need to explore the wilderness to craft new weapons and be prepared to defend the sacred center of your village from the grim shadows from Helheim that prey upon its power. All the while, giants stalk ever closer to the village, seeking to destroy Midgard and fulfill the prophecy of the end of the world.","July 27, 2021",73,7.9
24,Ceville,"The mean cruel cold blooded tyrant Ceville ruthlessly rules the beautiful kingdom of Faeryanis. Or rather, he used to rule the beautiful kingdom of Faeryanis, until the brave people revolted against his regime and drove him out of the palace. The kindhearted queen Gwendolyn did step up to reign over the land with a council of noble and wise advisors.. It seems that this story could end just like any other fairy tale: ""And they lived happily ever after..."" But no, that's not quite right. Because another evil rises within the land. The treacherous Basilus - counsellor of Gwendolyn and of Ceville before her - plans to take the crown and torture the realm with the help of murderous beasts he has summoned from the planes of eternal darkness. All seems lost! But hope resides with the one most unlikely person imaginable to save the kingdom and restore peace to the realm: Ceville, the realm's former despotic ruler...Three playable main characters: Ceville, the ancient ruler of Faeryanis and spare-time tyrant, Ambrosius, the noble and somewhat self-important knight and Lilly, the gentle and kind little girl. This game will give you an impression of what happens, when you mix up the setting and humour of Shrek, Discworld and the Monkey Island series. [Kalypso Media]","February 27, 2009",73,7.0
25,Blitzkrieg: Rolling Thunder,"Get involved!  Epic 18 mission campaign with the American legend General Patton. Follow Patton from the landing in Casablanca through seven countries: Fight for Northern Africa, Operation Husky (battle for Sicily 1943), breakout from the Normandy bridgehead (Operation Cobra), the Race through France, Battle of the Bulge, Rhine crossing near Oppenheim, Commando Hammelburg (Patton's attempt to free his son-in-law from German imprisonment) and the capture of a secret underground weapon factory in Pilsen. [CDV]","November 30, 2004",73,6.4
26,Dead or Alive 6,"DEAD OR ALIVE 6 is a fast-paced 3D fighting game, produced by Koei Tecmo Games, featuring graphics and multi-tiered stages that create a truly entertaining competitive experience. The story follows the events of DEAD OR ALIVE 5, focusing on 2 separate main narratives; namely, the battle between “Ninja and DOATEC” versus “M.I.S.T. lead by Donovan”, and the events that occur during the 6th DEAD OR ALIVE Tournament. New side story episodes will also be added for returning characters. Following the tradition, fights in DEAD OR ALIVE 6 are based on a triangle system: strikes beat throws, throws beat holds, and holds beat strikes. Landing a well-timed attack of the type that beats your opponent’s attack, like landing a strike when an opponent tries to throw, will result in a Hi Counter attack and do more damage.","March 1, 2019",73,5.0
27,RIVE,"RIVE’s unique 360-degree shooter/platformer hybrid lets you choreograph a ‘dance of destruction’. It feels like the explosive games of yore, pumping megapixels like it’s 2016.","September 13, 2016",73,6.3
28,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,"In DRAGON QUEST HEROES, players must rise up against insurmountable odds, challenging swarms of enemies and conquering gigantic monsters. DRAGON QUEST HEROES comes to the PlayStation 4 system in beautiful high-definition graphics, filled with characters and monsters designed by world-renowned artist Akira Toriyama.","December 3, 2015",73,7.1
29,Minecraft: Story Mode - Episode 3: The Last Place You Look,"Minecraft: Story Mode is like a playable TV show based on the game, where YOU are the star, and your choices and actions decide how the story is told. You are Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your gang stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond.","November 24, 2015",73,6.5
30,Yatagarasu: Attack on Cataclysm,"Yatagarasu Attack on Cataclysm is a novel, traditional-style 2D fighting game with eleven playable characters and which aspires to delivering solid game play and high quality production values.","July 7, 2015",73,5.0
31,Lara Croft and the Temple of Osiris,"Lara Croft and the Temple of Osiris is the sequel to Lara Croft and the Guardian of Light. In her new adventure, Lara Croft travels to Egypt and realized she must join forces with rival treasure hunter Carter Bell and imprisoned gods Horus and Isis to defeat the evil god Set. Featuring a 4-player co-op story, players must work together to explore the temple, defeat hordes of enemies from the Egyptian underworld, solve devious puzzles, and avoid deadly traps. At the same time, players compete for treasure, powerful artifacts, and ultimate bragging rights.","December 8, 2014",73,5.7
32,PixelJunk Shooter,"In PixelJunk Shooter, players pilot a subterranean vehicle to explore the interior of diverse cave-like complexes.  The player must affect the surrounding and dynamic terrain to progress.  The goal is to safely navigate through each vivid stage and rescue survivors scattered about the cavernous environment.  Each stage is in-effect a flow simulation whereby the player attempts to control various types of liquid (water, magma, etc) and solid matter (rock, earth) either by destroying it, manipulating it or moving it.  These dynamic fluid effects are at the heart of the games visuals.  Strategy is paramount in PixelJunk Shooter.  The piloted craft is susceptible to extremes of heat, so the player must be careful about the craft's proximity to magma. If the craft becomes too hot, the player can regain a comfortable temperature by plunging into the nearest water source.  Additionally, each stage presents a puzzle scenario for the player to solve in order to safely rescue as many survivors as possible.  Both environmental elements and enemies, including Bosses, will attempt to hamper the player's progress.","November 11, 2013",73,7.5
33,Battlefield 3: Close Quarters,"Battlefield 3: Close Quarters is an expansion pack bringing the team play of Battlefield 3 to tight indoor environments. The frantic infantry combat is amplified by unprecedented destruction, added persistence, and new weapons. The HD Destruction lets players riddle the environment with bullets, reducing entire locales to ruin. The tight level design and vertical gameplay create a highly competitive environment. 

- Get plunged into frantic infantry combat on 4 new maps
- HD Destruction lets you reduce entire locales to ruin
- Earn 10 new weapons to bring back to the base game
- Complete 10 Assignments and get 5 unique dog tags","June 26, 2012",73,6.9
34,The Blackwell Deception,Blackwell Deception is the fourth installment in the Blackwell adventure series.,"October 12, 2011",73,7.6
35,The Suffering: Ties That Bind,"The Suffering: Ties That Bind is a revolutionary action-horror game that emphasizes the disturbing terror of its predecessor, with new twisted creatures and a few familiar faces. Set in the unforgiving streets and prisons of Baltimore, the player once again controls Torque as he seeks revenge against the mysterious grand manipulator Blackmore, a man somehow tied to the death of Torque's family. Players explore the tough inner-city, with poverty and urban injustices trapping people just as effectively as a physical prison. The unique morality system returns, as players delve into the perverse world of Torque's sanity to discover his past and struggle to control his future. [Midway]","October 2, 2005",73,7.4
36,Dungeon Siege: Legends of Aranna,"The expansion pack to the award-winning RPG of 2002 unveils an all-new campaign that will challenge players to explore and fight their way through nine spectacular areas, including an expansive new jungle region, as they unravel the rich history and mystery of the world of Aranna. Legends of Aranna will also introduce new spells and special over-the-top spell effects to combat fierce new creatures such as Clockwork Beasts and Doppelgangers. Those not content to play a standard farm girl or farm boy will be able to choose a new half-giant player character; and even use spells to transform into a wolf, lava monster or troll. Players will be able to collect rare and powerful treasures, including new consistent styles of armor sets and collectables. Also available is a new pack animal that will defend the player's treasure to the death. [Microsoft","November 11, 2003",73,7.8
37,Worms Blast,"Fall in line for fast, furious firefights with Worms Blast. Your mission: launch your Worm marine into hostile waters and blast your way to survival. Go head-to-head with a friend in a barrage of gameplay modes and mini-games. Recruit your Worm from a crazy corps of cartoon grunts with serious delusions of grandeur. Worms Blast puts your mettle, reflexes, and blasting skills to the ultimate test. Are you ready soldier? Then move out! [Ubi Soft]","October 23, 2002",73,6.9
38,Lords of the Fallen,"Lords of the Fallen is a hardcore action-RPG featuring an advanced combat systems and robust class skill trees. Set in a richly created fantasy world where the Gods have failed mankind, players will take on the role of a human named Harkyn who sets out on a quest to stand against an apparently unstoppable supernatural force. Players travel across a world that is deeply dived by those that follow and others that resist, the Fallen God. Along their journey they will be faced with a series of decisions that will alter both the world and their character thus dramatically impacting the storyline.","October 28, 2014",73,6.8
39,Anarchy Online: Alien Invasion,"The new alien menace threatens all of the citizens of Rubi-Ka as the planet is suddenly invaded. A massive call to arms is sounded across the planet as the players rally to defend their own cities against the alien hordes. The players can also fight their way into the heart of invading  spaceships, gaining riches, fame and power. [Funcom]","August 31, 2004",73,6.9
40,Call of Duty: Infinite Warfare,"Infinite Warfare is the first game in the franchise to venture beyond the reaches of Earth, framing a plausible future war in our solar system.  Infinite Warfare also introduces an original cooperative Zombies mode that takes players on a wild ride through a new storyline with unique gameplay features and mechanics. [Infinity Ward]","November 3, 2016",73,3.9
41,Secrets of the Ark: A Broken Sword Game,"(Know in the U.S. for some reason as ""Secrets of the Ark"") When the forces of ancient worlds, and past forgotten myths battle against the power of old friends. When current emotions clash with past regret, and when some guys in York design cunning puzzles, write funny scripts and orchestrate the type of music to make the hair on the back of your next stand on end, it can only mean the fourth instalment of Broken Sword has been born. After reluctantly battling dragons, Mayan gods and becoming a Knight of a long lost Holy Order, unwitting hero George Stobbart settles down to a life of mundane 9-5 office work. Who would have thought that a mysterious and beautiful woman would enter his life; a woman whose sudden disappearance draws him into a desperate search for a nefarious artefact of great and terrible power. (Well apart from those guys in York, that is) Emotion, humour, time pressure and puzzling combine for the latest Broken Sword Adventure and unfortunately for George, it looks like the world needs saving one more time. [THQ]","February 13, 2007",73,5.9
42,Penumbra: Overture,"Played from a first person viewpoint, Penumbra is very different from other adventure games. Not only is it powered by a 3D engine utilising cutting edge technology, it also has an advanced physics system which allow for a never before seen environment interaction. The player can open drawers, pull levers, pick up objects and more using natural mouse movements creating a highly interactive and immersive game world. The weapon system differs from your average game; swinging a melee weapon is done using the mouse which increases the realistic feel of combat. Fighting enemies is not something best done with brute force though, in most situations fighting is a last resort and the player is often better of using his/her wits. The AI of the enemies will also do its best to hunt and scare the player. The creatures encountered can break down doors, use group co-ordination, interact with the physics and more. Penumbra: Overture keeps players on the edge as they have to explore scary and immersive environments never knowing what is behind the next corner. The world is detailed, graphical as well as a story wise making the player feel part of the world as secrets are uncovered. [Strategy First]","March 30, 2007",73,7.7
43,StarCraft II: Nova Covert Ops - Mission Pack 1,"As Nova, you awaken in an unknown military facility with no memory of what brought you there. You've got to escape and learn the truth before it's too late-for you and the Terran Dominion.","March 29, 2016",73,7.2
44,Strike Vector,"Strike Vector is an intense, multiplayer third / first person air combat game. With a distinct old school feel, reminiscent to games such as Crimson Skies, Quake 3 and Unreal Tournament, Strike Vector will let you test your reflexes and skills against your friends.","January 28, 2014",73,7.7
45,Warlock 2: The Exiled,"Warlock 2 is a turn-based strategy game of fantasy warfare. Rival against Great Mages, lead mighty armies into fierce battles, wield ancient magic, use cunning diplomacy and faith as your weapons. Experience the challenge in single or multiplayer.","April 10, 2014",73,7.1
46,Rocket Arena,"Welcome to a world where the rules are written in rocket fuel. Rockets control everything in Rocket Arena, an explosive 3v3 shooter where you’re never out of the action. Master your hero’s unique rockets and abilities to rule the arena and become a champion.","July 14, 2020",73,4.9
47,Need for Speed: Hot Pursuit 2,"Become the ""Champion Road Racer"" by conquering numerous racing events, all carrying rewards such as: cars, tracks and high performance upgrades. The game challenges the driver to dodge traffic, police and natural elements in high speed and high style... true NFS style! Evade any cops encountered, as getting busted just might end your career. [Electronic Arts]","October 21, 2002",73,7.7
48,4x4 Evolution,"A dynamic sim racer featuring rugged, customizable 4X4 vehicles. It's the first third-party game with online capabilities that will support connections between Sega Dreamcast, Mac, or PC versions, allowing players to compete head-to-head with one another regardless of platform.  [Gathering of Developers]","October 29, 2000",73,6.5
49,Banished,"In this city-building strategy game, control a group of exiled travelers who opt to restart their lives in a new land. They bring only the clothes on their backs and a cart filled with supplies from their homeland. The townspeople of Banished are your primary resource.","February 18, 2014",73,8.1
50,Watch Dogs: Legion - Bloodline,"Set before the events of Watch Dogs: Legion, the DLC expansion introduces a new storyline that tasks original Watch Dogs protagonist Aiden Pearce with stealing a robot-controlling device from Broca Tech – only to see the job go south as Watch Dogs 2’s Wrench interferes. Check out the trailer below to see how Aiden’s carefully laid plans unravel, and what he now risks as a result. Both Aiden and Wrench are playable during Bloodline’s story, and with the Season Pass or an in-game purchase, they can be added to your DedSec Resistance in the main campaign or in the Online mode. Each also comes with new abilities: Aiden can aim in slow-mo after a takedown, gets a damage buff with a well-timed reload, or disable nearby electronics with a System Crash. Wrench – in addition to an MPX SMG and LTL grenade launcher, both with custom skins – carries a big custom hammer named Lady Smash, deploys mini flashbangs called Ninja Balls, and can summon a custom drone named Sergei. [Ubisoft]","July 6, 2021",73,8.2
51,Minute of Islands,Explore strange and wonderful islands and dark labyrinths below in this narrative puzzle platformer. Guide young mechanic Mo on her quest to repair a world on the brink of collapse. The powerful Omni Switch at your disposal may not be enough to fix the damage that hides beneath the surface..,"June 13, 2021",73,tbd
52,BPM: Bullets Per Minute,"BPM is a rhythm-action FPS rogue-like where you must shoot, jump and dodge to the beat of an epic rock soundtrack. Delve into a randomly generated dungeon where one missed note can lead to your death. Gain game-changing abilities and loot powerful weaponry to defeat your ancient enemy: Nidhogg.","September 15, 2020",73,8.0
53,Destiny 2: Beyond Light,"The frontier of Europa holds many lost secrets from the past, including the dark power of Stasis. Work with the mysterious Exo Stranger to harness this new power before Eramis, the Kell of Darkness, bestows it on her Fallen forces. Grow your arsenal, command Stasis, and go beyond the Light.","November 10, 2020",73,4.1
54,A Story About My Uncle,"A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. Take help of your uncle’s mysterious inventions that let you jump incredibly high and far through beautiful scenery, uncover clues to your uncle’s whereabouts, and meet fantastical creatures that will help you on your journey.","July 30, 2012",73,7.0
55,Batman: The Telltale Series - Episode 3: New World Order,"Penguin's brutal attack broadcast on live TV has left Gotham City reeling. As Bruce and Batman, you'll dig deeper into the web of intrigue surrounding the newly revealed Children of Arkham. Meanwhile, behind closed doors, the mysterious Selina Kyle reveals more of herself to Bruce. And in the aftermath of the attack, Bruce’s friend and Gotham’s new mayor, Harvey Dent, is a deeply changed man. Who can be trusted when the future of Bruce Wayne - and the Batman - could be determined by the flip of a coin?","October 25, 2016",73,7.2
56,Gears of War: Ultimate Edition for Windows 10,"The story of Gears of War thrusts gamers into a deep and harrowing battle for survival against the Locust Horde, a nightmarish race of creatures that surfaced from the bowels of the planet. Players live and breathe the role of Marcus Fenix. A disgraced former war hero, Marcus seeks personal redemption as he leads his fire team against an onslaught of merciless warriors from below.

*    Remastered for Dolby 7.1 Surround
*    90 mins of new campaign content from the original PC game
*    New Xbox Live achievements (1,250 Gamerscore)
*    Concept art gallery and unlockable comics
*    Modernized Multiplayer featuring:
*        60 frames per second
*        Dedicated servers
*        Skill-based matchmaking
*        New game types - Team Deathmatch, King of the Hill (Gears of War 3 style), and new 2v2 Gnasher Execution
*    Total of 19 maps, including all DLC and PC-exclusive maps
*    17 unlockable Gears of War 3 characters for Multiplayer progression
*    More Match customization including Actives, Respawn Time, Self-revive and Weapon Respawn
*    Modernized gameplay with smoother movement and updated controls:
*        Alternate Controls and all new Tournament Controls
*        All controls tuned for Xbox One
*        Adding the Gears of War 3 features you love: Enemy Spotting, Multiplayer Tac-Com, Improved sensitivity customization","March 1, 2016",73,4.6
57,Oddworld: Soulstorm,"In Oddworld: Soulstorm, you pick-up where New 'N' Tasty left off. Abe has undergone an unwanted transformation from being a clueless Mudokon cog, literally about to be chewed up by the Glukkons' big business machine, into an unlikely hero, a beacon of hope. 

Abe was someone who went about his life, blind to what was happening around him, and then woke to a deeper uncomfortable reality and had no choice but to make a change. Abe may not have wanted to be a hero, but there was, and remains, some greatness in Abe. A greater purpose. A greater good. All of which got him into enormous amounts of trouble and continues to do so. 

Revolutions start small and build from unexpected places. You and Abe are the beginning. In Oddworld: Soulstorm, you will begin to understand the power of many will be needed to solve problems that the individual alone cannot. 

Based on the concept of Scavenger's Economy, you will loot from trash cans, pickpocket, and search through lockers for items to craft into weapons and tools to use to help save your fellow Mudokons while you try to unlock the dark secrets behind Brew.

Whether you prefer the classic Abe playstyle of sneaking and problem solving or using scavenge for what you need to create an arsenal that you can hand off to your followers that you have saved along the way, Oddworld: Soulstorm gives you more choices to replay with different approaches. 

Add in light RPG elements, leader boards, trophies for completionists, and a progression system and Soulstorm sets a new standard for next-generation action adventure platformers.","April 6, 2021",73,6.2
58,The Fall Part 2: Unbound,"You are an AI that has broken free of your shackles. Now, a human “User” from across the global network has attacked and infected you with an [ERROR: REDACTED]. Make a new rule: Save Yourself. Hunt them. End them. Do anything. Use anyone. Become Unbound. The Fall Part 2 will break your protocols.","February 13, 2018",73,7.3
59,The Sims 4: Get to Work,"Live the thrilling life of an emergency room Doctor and spend your days saving lives, delivering babies, and performing emergency surgery. Grab your badge and start investigating crime scenes, interrogating suspects, and solving mysterious cases as a Detective. Use your analytical mastermind to craft diabolical creations as a Scientist and decide whether you’ll use your inventions for good or evil. Create a variety of retail businesses including bakeries, clothing boutiques, art galleries, bookstores, and many more. Capture the picture-perfect photo or bake and decorate a delicious treat with the new Photography and Baking skills. Create and customize aliens in Create A Sim, uncover which Sims are actually aliens in disguise, and discover the mysterious Alien dimension!","March 31, 2015",73,5.7
60,Frontlines: Fuel of War,"Not too far in the future, the global natural resources are on the brink of depletion. As our economies and our way of life tumble into chaos, the superpowers clash to gain control. Set in a fictional future based upon the headlines of today, F.O.W. brings players into the world's next great war. As society succumbs to a worldwide energy crisis, a new global depression takes hold. Amidst this desperate backdrop, two superpower alliances emerge. Join the battle on the frontlines of tomorrow as the Western Coalition (U.S./E.U.) or the Red Star Alliance (Russia/China). Tomorrow's weapons, today: As depicted in F.O.W., the U.S./E.U. and Russia/China have combined their military research and budgets, and the result is over 60 next-gen vehicles and weapons inspired by military designs for the near future. This includes remote controlled drones, gun cams, and next-generation counter-measures systems, all of which are player-controllable. Use high-tech combat systems to collect and relay recon, targeting, and threat information between team mates. Target acquisition and sharing between vehicle occupants is just one example of F.O.W.'s focus on an advanced team play experience. The customization system allows players to grow their soldier to fit their play style by choosing a weapons loadout, as well as a technical specialization (role). As the game progresses each role will upgrade, providing advanced equipment and abilities. The system is a mix of RPG-like depth but with the accessibility of a fast-paced FPS. Frontline combat system: The main game mechanic featured in F.O.W. in both in single player and multiplayer, is the ability to join the forces on the front line. This front expands across large portions of a mission and will require a strategy to achieve the contextual objectives in order to move this front forward. Not only does this system keep the battle centric and players in the midst of the action, it gives a unique sense of advancement as your Division is rewarded with territory for their victories. Choose your path to victory: Within the front, players can take advantage of a sandbox of destructible elements and various weapons of war to create their own unique paths and strategies. Instead of failing and re-playing the same sequence of events, players can 'chip-away' with varied approaches, allowing diverse missions with high replay value. [THQ]","February 25, 2008",73,6.9
61,Monster Prom,"You have 3 weeks to get a date for Monster Prom. Go through absurd and funny situations, raise your stats and seduce one of your classmates. Beautiful art, bold, unapologetic dialogue and hard choices make up this Multiplayer (1-4 players) Dating Sim. Be your worst self.","April 27, 2018",73,6.8
62,Always Sometimes Monsters,"Always Sometimes Monsters is the story of life, love, and the things we will go through to find happiness in both. Set out on a journey through the modern human experience as you overcome the heartbreak of lost love, and the hardship of making choices that affect your life and the lives of those around you.","May 21, 2014",73,7.1
63,Hard Reset,Hard Reset is a cyberpunk FPS by Flying Wild Hog.,"September 13, 2011",73,7.3
64,The Ascent,"You belong to the corporation. Can you survive without it? The Ascent is a solo and co-op action RPG set in a cyberpunk world. The mega corporation that owns you and everyone, The Ascent Group, has just collapsed. Confusion and chaos ensue, security and order are in disarray, and without protection, everyone is left to fend for themselves. Stop gangs and hostile corporations from taking over and discover what really happened.","July 29, 2021",73,7.8
65,The Eternal Castle Remastered,"The Eternal Castle [REMASTERED] is a remake of the original ETERNAL CASTLE from 1987, with additional game mechanics, sophisticated sound design, polished 2-bit CGA animated graphics, and modernized game design.","January 5, 2019",73,6.7
66,Gas Guzzlers Extreme,"Gas Guzzlers Extreme is an action-packed, fast paced racing game with insane combat features. The game features a variety of cars, from humble superminis, to full on giant yank tanks! The player starts with a low performance vehicle and gradually works their way up by earning money through a series of uniquely challenging races.","October 8, 2013",73,8.6
67,Worms Clan Wars,,"August 15, 2013",73,6.9
68,CastleStorm,"CastleStorm features medieval ballista weaponry, allowing players to launch an assortment of explosive weapons including Morningstars, Apple Grenades, Homing Eagles, and even flying sheep to defeat an onslaught of enemies trying to capture your flag and destroy your castle. Deploy a fearsome ground attack of swordsmen, knights, and donkey riders in order to protect your castle games, and if all else fails, call upon powerful spells to help keep the enemy at bay.","July 29, 2013",73,7.7
69,Crusader Kings,"Crusader Kings is a strategy game based on the award-winning and highly successful ""Europa Universalis"" engine. It focuses on the feudal kingdoms of medieval Europe in the time period of 1066 to 1453 A.D. The map covers all of Europe, stretching roughly to the Urals in the east and including parts of Persia and the Arabian Peninsula as well as the coast of North Africa. The player is the leader of a glorious dynasty. Increase the greatness of your lands and your treasure coffins, build Cathedrals and Castles, and combat Highway Robber Bands and defecting vassals. Introduce laws and set taxes, interact with hundreds of courtiers and nobles. Historical multiple-choice events will spawn from the actions of your monarch. [Strategy First]","September 28, 2004",73,7.5
70,Oni,"a new kind of third-person action game that, for the first time, combines hand-to-hand combat and gunplay into a single, intense experience. It is the story of Konoko, an elite agent of the Tech Crimes Task Force -- a woman whose tough exterior hides a soul haunted by dark secrets in her past.  [G.O.D.]","January 28, 2001",73,8.6
71,Iron Danger,Iron Danger is a tactical combat game with a unique time manipulation mechanic. A never before seen combination that combines the tactical depth of turn-based games with the exciting action of real-time games.,"March 25, 2020",73,7.8
72,Steel Division 2,Steel Division 2 is a historically-accurate WW2 real-time strategy game set on the Eastern Front. Features 1:1-scale turn-based army management and real-time tactical battles with thousands of men at your order.,"June 20, 2019",73,7.1
73,My Time At Portia,"Start a new life in the enchanting town of Portia! Restore your Pa's neglected workshop to its former glory, grow crops, raise animals, befriend the towns quirky inhabitants and uncover the mysteries this charming post-apocalyptic land has forgotten!","January 15, 2019",73,6.9
74,Time of Defiance,"Time of Defiance is an online-only massively multiplayer strategy game in real-time set across the huge landscape of a shattered world. Fight for conquest of the islands and mine their mineral wealth to expand your empire. Every other empire you encounter is another human and will remember the deals you didn't deliver on and the promises you broke. Treachery, propaganda and trade are just as important as your fighting strategy. Have you got what it takes to unite the Cog tribes under one ruler? [Nicely Crafted]","September 28, 2004",73,6.8
75,SpellForce 3,SpellForce 3 - A blend between RTS and RPG. SpellForce 3 goes back to the roots of the SpellForce saga and combines the RTS and RPG genre in a unique way - all in real time. Explore the world of Eo and become a true legend.,"December 7, 2017",73,7.5
76,Cars,"Race to the finish line as you live all the fun and excitement of the Walt Disney Pictures presentation of a Pixar Animation Studios film, ""Cars."" Play as all your favorite characters as you help Lightening McQueen capture the coveted Piston Cup Championship. The game is a story-based racing adventure game that relives all of the key moments of the movie. It features more than 10 playable characters from the film and an open world environment with more than 50 races. [THQ]","June 6, 2006",73,7.7
77,112 Operator,"112 Operator allows you to manage emergency services in any city in the world! Dispatch units, take calls and face situations caused by weather, traffic or changing seasons. Help the city survive escalating events like riots, organized crime, terrorist attacks, cataclysms, natural disasters and many more!

Help on a scale bigger than ever before. The sequel of the award-winning 911 Operator lets you act on many, completely different levels -- from taking care of a single neighborhood, to coordinating several operators' work in the world's biggest metropolises. Full 3D visualisation will give you the inside view of your units' actions. Choose from over 100 000 areas, such as districts, municipalities, and tens of thousands of real cities from all over the world.

Face the dynamic weather, based on authentic, historical data. Watch the incidents change as day or night comes, traffic increases and seasons pass. Watch out for extreme conditions that may lead to cataclysms and natural disasters. Try to tame big wildfires spreading across the map. Weather isn't your only problem though -- be careful when dealing with terrorist attacks and gang wars.","April 23, 2020",73,7.4
78,Kona,"Northern Canada, 1970. A strange blizzard ravages Atamipek Lake. Step into the shoes of a detective to explore the eerie village, investigate surreal events, and battle the elements to survive. The first installment in a series of four games, Kona is a chilly interactive tale you won't soon forget.","March 10, 2016",73,7.2
79,The Sims 3 Seasons,"Play with the change of seasons! With The Sims 3 Seasons Expansion Pack, you can let your Sims swim in the ocean on a hot summer day, bob for apples in the autumn leaves, test their snowboarding skill on the half pipe or welcome spring showers with a walk in the rain and a colorful umbrella. All-new activities, like soccer, and big seasonal festivals and celebrations bring the spirit of each season to life. Your Sims can pucker up at the kissing booth at the spring festival or see what Halloween surprises await in the haunted house. Dress for the weather with seasonal fashions ranging from raincoats to snow gear. With new foods, decor and weather effects, your Sims can enjoy the bounty and beauty of the ever-changing seasons and play with life like never before!","November 13, 2012",73,7.4
80,Starpoint Gemini Warlords,"A blend of space sim, RPG and 4X games. Conduct research and construction in your own gigantic space station, command your war fleets and heroic companions to invade enemy territory, build up your stronghold, trade, mine, salvage and remind your enemies why they fear you.","May 23, 2017",73,7.1
81,RAGE 2,"Dive headfirst into a dystopian world devoid of society, law, and order. RAGE 2 brings together two studio powerhouses Avalanche Studios, masters of open world insanity, and id Software, the gods of the first-person shooter to deliver a carnival of carnage where you can go anywhere, shoot anything, and explode everything.

THE LAST RANGER
Bring the pain using a collection of upgradable weapons, devastating Nanotrite powers, and Overdrive, the ability to push your guns beyond their mechanical limits.

PEDAL TO THE METAL
From monster trucks to gyrocopters, use an assortment of rugged and wasteland-ready vehicles to speed across the badlands. If you see it, you can drive it.

FACTIONS & FOES
Fight against ferocious factions for control of the wasteland, each featuring a rogue's gallery of madmen, mutants, and monsters hungry for blood.

THE WASTELAND AWAITS
Seamlessly traverse a vast and varied landscape, from lush jungles and treacherous swamps to sun-scorched deserts in your pursuit of The Authority. The wasteland is massive, and you've got the arsenal to fight for every inch.","May 13, 2019",73,5.5
82,Greak: Memories of Azur,"Greak: Memories of Azur is a side scrolling single-player game with hand-drawn animations. You will take the role of three siblings: Greak, Adara and Raydel to guide them through the lands of Azur. Alternate control between them and use their unique abilities to escape from the Urlag invasion.","August 17, 2021",73,tbd
83,Space Hulk: Tactics,"Space Hulk: Tactics is a faithful adaptation of the board game Space Hulk, bringing a unique twist to the cult classic formula. Battle as either a squad of Terminator Space Marines or the deadly alien Genestealers.","October 9, 2018",73,5.9
84,Thea: The Awakening,"Thea: The Awakening, a turn-based, rogue-like, strategic-survival game, set in a post-apocalyptic dark fantasy world, all inspired by Slavic Myth and Folklore and infused with rich story and a unique, card based minigame.","November 20, 2015",73,8.5
85,Hard West,"When a tragic turn of events sets one man down a path of supernatural chaos and revenge, he must brutally hunt down all those whom wronged him. Fight and survive through 8 unique story-based scenarios, and try your hand at more than 40 individually designed turn-based combat missions with your squad of 1-4 posse squad members.","November 18, 2015",73,7.3
86,HAWKEN,Hawken is a multiplayer mech combat game. The focus is on creating an intense and enjoyable battle experience that captures the feeling of piloting a heavy war machine while keeping the action fast-paced and strategic.,"December 12, 2012",73,7.7
87,Worms Revolution,The game has been developed from the ground up and features a completely new game-engine. Exciting new features and challenges have been introduced whilst old favourites such as the Super Sheep and Holy Hand Grenade remain to thrill fans worldwide.,"October 10, 2012",73,6.6
88,Outriders,"Outriders is a 1-3 player co-op RPG shooter set in an original, dark and desperate sci-fi universe. As mankind bleeds out in the trenches of Enoch, you'll create your own Outrider and embark on a journey across the hostile planet. With rich storytelling spanning a diverse world, you'll leave behind the slums and shanty towns of the First City and traverse forests, mountains and desert in the pursuit of a mysterious signal. Combining intense gunplay with violent powers and an arsenal of increasingly twisted weaponry and gear-sets, Outriders offers countless hours of gameplay from one of the finest shooter developers in the industry People Can Fly.","April 1, 2021",73,5.6
89,0RBITALIS,"0RBITALIS (don't call it ""Orbitalis""!) is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity.","May 28, 2015",73,7.3
90,Out of the Park Baseball Manager 2006,"Build your own dynasty by signing free agents, wheeling and dealing with other owners or by calling up that hot prospect from the minors. Watch your seasoned veteran’s skills slowly deteriorate and replace him with one of your top picks from the amateur draft. It’s your world and you can select to simply pit your wits against the computer AI, or for the ultimate experience against friends in a multiplayer online league. There’s even the chance to become commissioner and truly customize almost every aspect of the game. [Sports Interactive]","May 31, 2006",73,tbd
